zip_code,cases,cases_norm,week,cases_change,cases_norm_change
97734,19,682.0,2020-09-10,0,0
97738,5,n/a,2020-09-10,0,0
97739,17,154.3,2020-09-10,0,0
97741,164,1376.8,2020-09-10,3,25.200000000000045
97753,5,n/a,2020-09-10,0,0
97754,54,290.7,2020-09-10,2,10.699999999999989
97756,133,396.4,2020-09-10,4,11.899999999999977
97759,25,397.2,2020-09-10,0,0
97760,25,370.0,2020-09-10,0,0
97761,277,6947.6,2020-09-10,14,351.2000000000007
97801,549,2551.0,2020-09-10,31,144
97813,5,n/a,2020-09-10,0,0
97814,81,654.2,2020-09-10,16,129.20000000000005
97818,316,7598.0,2020-09-10,14,336.60000000000036
97820,0,0,2020-09-10,0,0
97824,10,602.0,2020-09-10,0,0
97826,23,2119.8,2020-09-10,3,276.5000000000002
97827,13,494.7,2020-09-10,0,0
97828,10,320.1,2020-09-10,5,0
97836,11,554.7,2020-09-10,0,0
97838,1488,5870.7,2020-09-10,39,153.80000000000018
97844,122,3205.5,2020-09-10,4,105.09999999999991
97845,5,n/a,2020-09-10,0,0
97846,5,n/a,2020-09-10,0,0
97850,371,2188.1,2020-09-10,4,23.5
97862,137,1174.4,2020-09-10,4,34.30000000000018
97865,5,n/a,2020-09-10,0,0
97868,21,1054.7,2020-09-10,1,50.200000000000045
97869,5,n/a,2020-09-10,0,0
97875,123,4712.6,2020-09-10,2,76.60000000000036
97882,409,5270.6,2020-09-10,23,296.40000000000055
97883,5,n/a,2020-09-10,0,0
97885,5,n/a,2020-09-10,0,0
97886,12,1052.6,2020-09-10,0,0
97913,191,3455.7,2020-09-10,11,199
97914,996,5186.1,2020-09-10,102,531.1000000000004
97918,79,1741.2,2020-09-10,3,66.10000000000014
97002,47,835.9,2020-09-16,0,0.10000000000002274
97003,224,865.4,2020-09-16,5,19.299999999999955
97004,20,455.8,2020-09-16,0,0
97005,288,1156.3,2020-09-16,5,20
97006,331,525.1,2020-09-16,12,19
97007,291,434.6,2020-09-16,12,17.900000000000034
97008,188,649.0,2020-09-16,12,41.5
97009,61,785.9,2020-09-16,1,12.899999999999977
97013,254,1119.5,2020-09-16,6,26.40000000000009
97014,5,n/a,2020-09-16,0,0
97015,165,845.2,2020-09-16,15,76.80000000000007
97016,21,345.2,2020-09-16,1,16.399999999999977
97017,5,n/a,2020-09-16,0,0
97018,5,n/a,2020-09-16,0,0
97019,34,1075.6,2020-09-16,0,0
97021,5,n/a,2020-09-16,0,0
97022,18,483.6,2020-09-16,1,26.900000000000034
97023,46,467.9,2020-09-16,1,10.199999999999989
97024,220,2148.0,2020-09-16,14,136.70000000000005
97026,113,2962.0,2020-09-16,4,104.90000000000009
97027,50,412.2,2020-09-16,1,8.300000000000011
97030,464,1264.5,2020-09-16,17,46.299999999999955
97031,186,1012.2,2020-09-16,-1,-5.5
97032,109,2161.4,2020-09-16,2,39.80000000000018
97034,65,343.8,2020-09-16,2,10.600000000000023
97035,80,334.6,2020-09-16,2,8.400000000000034
97038,96,635.2,2020-09-16,1,6.600000000000023
97040,10,803.9,2020-09-16,5,0
97041,32,1136.0,2020-09-16,0,0
97042,17,581.6,2020-09-16,0,0
97045,292,568.5,2020-09-16,10,19.399999999999977
97048,26,388.6,2020-09-16,0,0
97049,5,n/a,2020-09-16,0,0
97051,45,282.0,2020-09-16,2,12.5
97053,5,n/a,2020-09-16,0,0
97054,5,n/a,2020-09-16,0,0
97055,69,397.7,2020-09-16,2,11.5
97056,28,243.5,2020-09-16,1,8.699999999999989
97058,205,1033.4,2020-09-16,5,25.200000000000045
97060,237,1116.6,2020-09-16,14,66
97062,257,936.8,2020-09-16,7,25.5
97063,5,n/a,2020-09-16,0,0
97064,5,n/a,2020-09-16,0,0
97067,13,608.0,2020-09-16,0,0
97068,82,289.7,2020-09-16,3,10.599999999999966
97070,149,711.0,2020-09-16,4,19.100000000000023
97071,984,3416.3,2020-09-16,48,166.60000000000036
